domain,bookmark_count
www.nytimes.com,1
www.nbcnews.com,1
news.bbc.co.uk,1
wagingnonviolence.org,1
web.archive.org,1
libcom.org,1
www.schirn.de,1
papertiger.org,1
www.galeriareplica.cl,1
www.jaeonline.org,1
www.wildtronics.com,1
pastvu.com,1
culture.pl,1
warszawa.naszemiasto.pl,1
fotopolska.eu,1
www.csis.org,1
www.vox.com,1
www.gsd.harvard.edu,1
www.decolonizing.ps,1
extinctionrebellion.uk,1
apnews.com,1
www.bldgblog.com,1
cp.catapult.org.uk,1
science.nasa.gov,1
www.anthroposphere.co.uk,1
www.urbanfieldnaturalist.org,1
player.bfi.org.uk,1
playgameoflife.com,1
hackernoon.com,1
www.glass-bead.org,1
urbanecologies.net,1
www.geekwire.com,1
exposingtheinvisible.org,1
datasociety.net,1
sytaffel.com,1
csis-website-prod.s3.amazonaws.com,1
journals.open.tudelft.nl,1
www.ardeth.eu,1
eahn.org,1
www.architecture.yale.edu,1
think.taylorandfrancis.com,1
guides.library.stanford.edu,1
antipodeonline.org,1
www.aias.org,1
www.jola-lab.eu,1
au-magazine.com,1
spool.ac,1
www.tandfonline.com,1
utppublishing.com,1
www.intellectbooks.com,1
www.dimensions-journal.eu,1
www.monu-magazine.com,1
architectureinpractice.eu,1
gta.arch.ethz.ch,1
journals.fupress.net,1
www.designhistorysociety.org,1
www.digitalcultureandeducation.com,1
ojs.weizenbaum-institut.de,1
revistes.ub.edu,1
www.ocean-space.org,1
www.bartlettdesignresearchfolios.com,1
playingfutures.today,1
jacket2.org,1
www.only-if.com,1
www.interboropartners.com,1
theanarchistlibrary.org,1
www.sionline.researche-editions.cddc.vt.edu,1
www.penguinrandomhouse.com,1
cartographicperspectives.org,1
books.google.be,1
andersonuniversity.ecampus.com,1
birkhauser.com,1
sk.sagepub.com,1
www.planum.net,1
www.pps.org,1
scholarship.law.columbia.edu,1
www.ucpress.edu,1
global.oup.com,1
www.politybooks.com,1
mediarep.org,1
methods.sagepub.com,1
aaa.org.hk,1
www.dukeupress.edu,1
www.kellereasterling.com,1
archplus.net,1
academic.oup.com,1
jamesbridle.com,1
cup.columbia.edu,1
www.bloomsbury.com,1
www.hbs.edu,1
www.archplus.net,1
data-feminism.mitpress.mit.edu,1
officeforpoliticalinnovation.com,1
verticalatlas.net,1
aadr.info,1
mitpressbookstore.mit.edu,1
mediathek.hgk.fhnw.ch,1
www.atlasofdigitalarchitecture.com,1
us.sagepub.com,1
www.cambridge.org,1
