domain,folder_path,bookmark_count
www.aaronkoblin.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
therefugeeproject.org,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
flowingdata.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
deck.gl,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.fallen.io,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
archive.org,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
schweizerweltatlas.ch,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.antoinedelach.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
theyrule.net,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
appliedinformation.group,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
labs.rs,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
extractivism.online,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
this-person-does-not-exist.com,Bookmark Bar / Citography / PROJECTS / TECH,1
picturesofinfinity.net,Bookmark Bar / Citography / PROJECTS / TECH,1
exonemo.com,Bookmark Bar / Citography / PROJECTS / TECH,1
varcity.ethz.ch,Bookmark Bar / Citography / PROJECTS / TECH,1
field-works.net,Bookmark Bar / Citography / PROJECTS / TECH,1
www.mapillary.com,Bookmark Bar / Citography / PROJECTS / TECH,1
safecast.org,Bookmark Bar / Citography / PROJECTS / TECH,1
avs.auto,Bookmark Bar / Citography / PROJECTS / TECH,1
fhp.incom.org,Bookmark Bar / Citography / PROJECTS / TECH,1
aaron-meyers.com,Bookmark Bar / Citography / PROJECTS / TECH,1
www.creativeapplications.net,Bookmark Bar / Citography / PROJECTS / TECH,1
nearfuturelaboratory.com,Bookmark Bar / Citography / PROJECTS / TECH,1
citizensense.net,Bookmark Bar / Citography / PROJECTS / TECH,1
docs.smartcitizen.me,Bookmark Bar / Citography / PROJECTS / TECH,1
shaowenbardzell.com,Bookmark Bar / Citography / PROJECTS / TECH,1
www.landskip.ch,Bookmark Bar / Citography / PROJECTS / TECH,1
www.computationalarchitecturelab.org,Bookmark Bar / Citography / PROJECTS / TECH,1
unit-21.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.instagram.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
gifcritique.wixsite.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
bureau-spectacular.net,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.alephograph.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.youandpea.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.reuters.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.punctr.art,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.cabinetmagazine.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.raisethecloud.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
extractivismos.galeriareplica.cl,Bookmark Bar / Citography / PROJECTS / ARCH,1
trafficcollective.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
vimeo.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.urbantactics.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
senseable.mit.edu,Bookmark Bar / Citography / PROJECTS / ARCH,1
dmjn.net,Bookmark Bar / Citography / PROJECTS / ARCH,1
lifeforms.io,Bookmark Bar / Citography / PROJECTS / ARCH,1
worldmaking.xyz,Bookmark Bar / Citography / PROJECTS / ARCH,1
medium.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.aestheticsofexclusion.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.joostgrootens.nl,Bookmark Bar / Citography / PROJECTS / ARCH,1
